state,race_ethnicity,education,household_income,n
GA,Not Caucasian,Graduate degree or more,$150k+ : upper class,854
GA,Not Caucasian,Graduate degree or more,$15k - $35k: low income,185
GA,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,539
GA,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,1001
GA,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,688
GA,Not Caucasian,Highschool diploma,$150k+ : upper class,1060
GA,Not Caucasian,Highschool diploma,$15k - $35k: low income,1138
GA,Not Caucasian,Highschool diploma,$35k - $70k: middle class,1635
GA,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,1566
GA,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,3343
GA,Not Caucasian,No highschool diploma,$150k+ : upper class,3343
GA,Not Caucasian,No highschool diploma,$15k - $35k: low income,4999
GA,Not Caucasian,No highschool diploma,$35k - $70k: middle class,5495
GA,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,4522
GA,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,268
GA,Not Caucasian,Undergraduate degree,$150k+ : upper class,736
GA,Not Caucasian,Undergraduate degree,$15k - $35k: low income,464
GA,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,940
GA,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1372
HI,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,20
HI,Caucasian,Graduate degree or more,$150k+ : upper class,223
HI,Caucasian,Graduate degree or more,$15k - $35k: low income,37
HI,Caucasian,Graduate degree or more,$35k - $70k: middle class,86
HI,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,178
HI,Caucasian,Highschool diploma,$0 - $15k: living in poverty,61
HI,Caucasian,Highschool diploma,$150k+ : upper class,174
HI,Caucasian,Highschool diploma,$15k - $35k: low income,108
HI,Caucasian,Highschool diploma,$35k - $70k: middle class,189
HI,Caucasian,Highschool diploma,$70 - $150k: upper middle class,229
HI,Caucasian,No highschool diploma,$0 - $15k: living in poverty,131
HI,Caucasian,No highschool diploma,$150k+ : upper class,485
HI,Caucasian,No highschool diploma,$15k - $35k: low income,167
HI,Caucasian,No highschool diploma,$35k - $70k: middle class,286
HI,Caucasian,No highschool diploma,$70 - $150k: upper middle class,385
HI,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,30
HI,Caucasian,Undergraduate degree,$150k+ : upper class,239
HI,Caucasian,Undergraduate degree,$15k - $35k: low income,68
HI,Caucasian,Undergraduate degree,$35k - $70k: middle class,141
HI,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,258
HI,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,25
HI,Not Caucasian,Graduate degree or more,$150k+ : upper class,315
HI,Not Caucasian,Graduate degree or more,$15k - $35k: low income,24
HI,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,95
HI,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,302
HI,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,103
HI,Not Caucasian,Highschool diploma,$150k+ : upper class,632
HI,Not Caucasian,Highschool diploma,$15k - $35k: low income,203
HI,Not Caucasian,Highschool diploma,$35k - $70k: middle class,424
HI,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,801
HI,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,427
HI,Not Caucasian,No highschool diploma,$150k+ : upper class,1940
HI,Not Caucasian,No highschool diploma,$15k - $35k: low income,674
HI,Not Caucasian,No highschool diploma,$35k - $70k: middle class,1220
HI,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,2112
HI,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,54
HI,Not Caucasian,Undergraduate degree,$150k+ : upper class,569
HI,Not Caucasian,Undergraduate degree,$15k - $35k: low income,99
HI,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,264
HI,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,622
IA,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,46
IA,Caucasian,Graduate degree or more,$150k+ : upper class,511
IA,Caucasian,Graduate degree or more,$15k - $35k: low income,100
IA,Caucasian,Graduate degree or more,$35k - $70k: middle class,317
IA,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,660
IA,Caucasian,Highschool diploma,$0 - $15k: living in poverty,477
IA,Caucasian,Highschool diploma,$150k+ : upper class,1038
IA,Caucasian,Highschool diploma,$15k - $35k: low income,900
IA,Caucasian,Highschool diploma,$35k - $70k: middle class,1848
IA,Caucasian,Highschool diploma,$70 - $150k: upper middle class,2294
IA,Caucasian,No highschool diploma,$0 - $15k: living in poverty,1576
IA,Caucasian,No highschool diploma,$150k+ : upper class,2450
IA,Caucasian,No highschool diploma,$15k - $35k: low income,3034
IA,Caucasian,No highschool diploma,$35k - $70k: middle class,5285
IA,Caucasian,No highschool diploma,$70 - $150k: upper middle class,5785
IA,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,139
IA,Caucasian,Undergraduate degree,$150k+ : upper class,841
IA,Caucasian,Undergraduate degree,$15k - $35k: low income,361
IA,Caucasian,Undergraduate degree,$35k - $70k: middle class,980
IA,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1752
IA,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,8
IA,Not Caucasian,Graduate degree or more,$150k+ : upper class,24
IA,Not Caucasian,Graduate degree or more,$15k - $35k: low income,12
IA,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,27
IA,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,39
IA,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,36
IA,Not Caucasian,Highschool diploma,$150k+ : upper class,113
IA,Not Caucasian,Highschool diploma,$15k - $35k: low income,56
IA,Not Caucasian,Highschool diploma,$35k - $70k: middle class,69
IA,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,55
IA,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,156
IA,Not Caucasian,No highschool diploma,$150k+ : upper class,245
IA,Not Caucasian,No highschool diploma,$15k - $35k: low income,302
IA,Not Caucasian,No highschool diploma,$35k - $70k: middle class,356
IA,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,284
IA,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,23
IA,Not Caucasian,Undergraduate degree,$150k+ : upper class,27
IA,Not Caucasian,Undergraduate degree,$15k - $35k: low income,34
IA,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,48
IA,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,54
ID,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,36
ID,Caucasian,Graduate degree or more,$150k+ : upper class,273
ID,Caucasian,Graduate degree or more,$15k - $35k: low income,87
ID,Caucasian,Graduate degree or more,$35k - $70k: middle class,219
ID,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,398
ID,Caucasian,Highschool diploma,$0 - $15k: living in poverty,290
ID,Caucasian,Highschool diploma,$150k+ : upper class,337
ID,Caucasian,Highschool diploma,$15k - $35k: low income,595
ID,Caucasian,Highschool diploma,$35k - $70k: middle class,1055
ID,Caucasian,Highschool diploma,$70 - $150k: upper middle class,980
ID,Caucasian,No highschool diploma,$0 - $15k: living in poverty,794
ID,Caucasian,No highschool diploma,$150k+ : upper class,1072
ID,Caucasian,No highschool diploma,$15k - $35k: low income,1562
ID,Caucasian,No highschool diploma,$35k - $70k: middle class,3028
ID,Caucasian,No highschool diploma,$70 - $150k: upper middle class,2546
ID,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,95
ID,Caucasian,Undergraduate degree,$150k+ : upper class,394
ID,Caucasian,Undergraduate degree,$15k - $35k: low income,219
ID,Caucasian,Undergraduate degree,$35k - $70k: middle class,598
ID,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,779
ID,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,4
ID,Not Caucasian,Graduate degree or more,$150k+ : upper class,13
ID,Not Caucasian,Graduate degree or more,$15k - $35k: low income,10
ID,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,10
ID,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,19
ID,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,29
ID,Not Caucasian,Highschool diploma,$150k+ : upper class,40
ID,Not Caucasian,Highschool diploma,$15k - $35k: low income,52
ID,Not Caucasian,Highschool diploma,$35k - $70k: middle class,59
ID,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,62
ID,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,123
ID,Not Caucasian,No highschool diploma,$150k+ : upper class,107
ID,Not Caucasian,No highschool diploma,$15k - $35k: low income,240
ID,Not Caucasian,No highschool diploma,$35k - $70k: middle class,266
ID,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,220
ID,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,7
ID,Not Caucasian,Undergraduate degree,$150k+ : upper class,17
ID,Not Caucasian,Undergraduate degree,$15k - $35k: low income,18
ID,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,32
ID,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,26
IL,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,243
IL,Caucasian,Graduate degree or more,$150k+ : upper class,4742
IL,Caucasian,Graduate degree or more,$15k - $35k: low income,440
IL,Caucasian,Graduate degree or more,$35k - $70k: middle class,1436
IL,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,3520
IL,Caucasian,Highschool diploma,$0 - $15k: living in poverty,1225
IL,Caucasian,Highschool diploma,$150k+ : upper class,3339
IL,Caucasian,Highschool diploma,$15k - $35k: low income,2454
IL,Caucasian,Highschool diploma,$35k - $70k: middle class,4703
IL,Caucasian,Highschool diploma,$70 - $150k: upper middle class,6513
IL,Caucasian,No highschool diploma,$0 - $15k: living in poverty,4506
IL,Caucasian,No highschool diploma,$150k+ : upper class,10313
IL,Caucasian,No highschool diploma,$15k - $35k: low income,8871
IL,Caucasian,No highschool diploma,$35k - $70k: middle class,14409
IL,Caucasian,No highschool diploma,$70 - $150k: upper middle class,17110
IL,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,649
IL,Caucasian,Undergraduate degree,$150k+ : upper class,5362
IL,Caucasian,Undergraduate degree,$15k - $35k: low income,1166
IL,Caucasian,Undergraduate degree,$35k - $70k: middle class,3133
IL,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,6131
IL,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,119
IL,Not Caucasian,Graduate degree or more,$150k+ : upper class,916
IL,Not Caucasian,Graduate degree or more,$15k - $35k: low income,163
IL,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,388
IL,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,805
IL,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,558
IL,Not Caucasian,Highschool diploma,$150k+ : upper class,780
IL,Not Caucasian,Highschool diploma,$15k - $35k: low income,712
IL,Not Caucasian,Highschool diploma,$35k - $70k: middle class,1121
IL,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,1166
IL,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,2225
IL,Not Caucasian,No highschool diploma,$150k+ : upper class,3012
IL,Not Caucasian,No highschool diploma,$15k - $35k: low income,3017
IL,Not Caucasian,No highschool diploma,$35k - $70k: middle class,4029
IL,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,3776
IL,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,274
IL,Not Caucasian,Undergraduate degree,$150k+ : upper class,807
IL,Not Caucasian,Undergraduate degree,$15k - $35k: low income,346
IL,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,737
IL,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1240
IN,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,111
IN,Caucasian,Graduate degree or more,$150k+ : upper class,1255
IN,Caucasian,Graduate degree or more,$15k - $35k: low income,272
IN,Caucasian,Graduate degree or more,$35k - $70k: middle class,782
IN,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,1625
IN,Caucasian,Highschool diploma,$0 - $15k: living in poverty,834
IN,Caucasian,Highschool diploma,$150k+ : upper class,1614
IN,Caucasian,Highschool diploma,$15k - $35k: low income,1509
IN,Caucasian,Highschool diploma,$35k - $70k: middle class,2917
IN,Caucasian,Highschool diploma,$70 - $150k: upper middle class,3596
IN,Caucasian,No highschool diploma,$0 - $15k: living in poverty,3389
IN,Caucasian,No highschool diploma,$150k+ : upper class,4652
IN,Caucasian,No highschool diploma,$15k - $35k: low income,6633
IN,Caucasian,No highschool diploma,$35k - $70k: middle class,11050
IN,Caucasian,No highschool diploma,$70 - $150k: upper middle class,11421
IN,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,287
IN,Caucasian,Undergraduate degree,$150k+ : upper class,1614
IN,Caucasian,Undergraduate degree,$15k - $35k: low income,663
IN,Caucasian,Undergraduate degree,$35k - $70k: middle class,1810
IN,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,3082
IN,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,37
IN,Not Caucasian,Graduate degree or more,$150k+ : upper class,139
IN,Not Caucasian,Graduate degree or more,$15k - $35k: low income,69
IN,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,94
IN,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,180
IN,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,209
IN,Not Caucasian,Highschool diploma,$150k+ : upper class,243
IN,Not Caucasian,Highschool diploma,$15k - $35k: low income,292
IN,Not Caucasian,Highschool diploma,$35k - $70k: middle class,361
IN,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,273
IN,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,1006
IN,Not Caucasian,No highschool diploma,$150k+ : upper class,935
IN,Not Caucasian,No highschool diploma,$15k - $35k: low income,1382
IN,Not Caucasian,No highschool diploma,$35k - $70k: middle class,1528
IN,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,1062
IN,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,80
IN,Not Caucasian,Undergraduate degree,$150k+ : upper class,103
IN,Not Caucasian,Undergraduate degree,$15k - $35k: low income,104
IN,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,206
IN,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,261
KS,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,52
KS,Caucasian,Graduate degree or more,$150k+ : upper class,628
KS,Caucasian,Graduate degree or more,$15k - $35k: low income,131
KS,Caucasian,Graduate degree or more,$35k - $70k: middle class,394
KS,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,846
KS,Caucasian,Highschool diploma,$0 - $15k: living in poverty,373
KS,Caucasian,Highschool diploma,$150k+ : upper class,851
KS,Caucasian,Highschool diploma,$15k - $35k: low income,840
KS,Caucasian,Highschool diploma,$35k - $70k: middle class,1393
KS,Caucasian,Highschool diploma,$70 - $150k: upper middle class,1636
KS,Caucasian,No highschool diploma,$0 - $15k: living in poverty,1269
KS,Caucasian,No highschool diploma,$150k+ : upper class,2082
KS,Caucasian,No highschool diploma,$15k - $35k: low income,2792
KS,Caucasian,No highschool diploma,$35k - $70k: middle class,4295
KS,Caucasian,No highschool diploma,$70 - $150k: upper middle class,4405
KS,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,138
KS,Caucasian,Undergraduate degree,$150k+ : upper class,923
KS,Caucasian,Undergraduate degree,$15k - $35k: low income,385
KS,Caucasian,Undergraduate degree,$35k - $70k: middle class,915
KS,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1577
KS,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,7
KS,Not Caucasian,Graduate degree or more,$150k+ : upper class,71
KS,Not Caucasian,Graduate degree or more,$15k - $35k: low income,29
KS,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,49
KS,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,99
KS,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,78
KS,Not Caucasian,Highschool diploma,$150k+ : upper class,174
KS,Not Caucasian,Highschool diploma,$15k - $35k: low income,107
KS,Not Caucasian,Highschool diploma,$35k - $70k: middle class,165
KS,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,146
KS,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,367
KS,Not Caucasian,No highschool diploma,$150k+ : upper class,403
KS,Not Caucasian,No highschool diploma,$15k - $35k: low income,454
KS,Not Caucasian,No highschool diploma,$35k - $70k: middle class,629
KS,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,551
KS,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,17
KS,Not Caucasian,Undergraduate degree,$150k+ : upper class,65
KS,Not Caucasian,Undergraduate degree,$15k - $35k: low income,46
KS,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,70
KS,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,115
KY,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,99
KY,Caucasian,Graduate degree or more,$150k+ : upper class,1077
KY,Caucasian,Graduate degree or more,$15k - $35k: low income,227
KY,Caucasian,Graduate degree or more,$35k - $70k: middle class,706
KY,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,1342
KY,Caucasian,Highschool diploma,$0 - $15k: living in poverty,616
KY,Caucasian,Highschool diploma,$150k+ : upper class,1139
KY,Caucasian,Highschool diploma,$15k - $35k: low income,1186
KY,Caucasian,Highschool diploma,$35k - $70k: middle class,1992
KY,Caucasian,Highschool diploma,$70 - $150k: upper middle class,2247
KY,Caucasian,No highschool diploma,$0 - $15k: living in poverty,3377
KY,Caucasian,No highschool diploma,$150k+ : upper class,3299
KY,Caucasian,No highschool diploma,$15k - $35k: low income,5245
KY,Caucasian,No highschool diploma,$35k - $70k: middle class,7025
KY,Caucasian,No highschool diploma,$70 - $150k: upper middle class,6414
KY,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,228
KY,Caucasian,Undergraduate degree,$150k+ : upper class,1132
KY,Caucasian,Undergraduate degree,$15k - $35k: low income,492
KY,Caucasian,Undergraduate degree,$35k - $70k: middle class,1177
KY,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1809
KY,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,14
KY,Not Caucasian,Graduate degree or more,$150k+ : upper class,80
KY,Not Caucasian,Graduate degree or more,$15k - $35k: low income,20
KY,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,57
KY,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,98
KY,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,107
KY,Not Caucasian,Highschool diploma,$150k+ : upper class,154
KY,Not Caucasian,Highschool diploma,$15k - $35k: low income,169
KY,Not Caucasian,Highschool diploma,$35k - $70k: middle class,224
KY,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,175
KY,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,556
KY,Not Caucasian,No highschool diploma,$150k+ : upper class,540
KY,Not Caucasian,No highschool diploma,$15k - $35k: low income,721
KY,Not Caucasian,No highschool diploma,$35k - $70k: middle class,742
KY,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,591
KY,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,31
KY,Not Caucasian,Undergraduate degree,$150k+ : upper class,68
KY,Not Caucasian,Undergraduate degree,$15k - $35k: low income,56
KY,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,116
KY,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,127
LA,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,78
LA,Caucasian,Graduate degree or more,$150k+ : upper class,797
LA,Caucasian,Graduate degree or more,$15k - $35k: low income,163
LA,Caucasian,Graduate degree or more,$35k - $70k: middle class,480
LA,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,882
LA,Caucasian,Highschool diploma,$0 - $15k: living in poverty,485
LA,Caucasian,Highschool diploma,$150k+ : upper class,921
LA,Caucasian,Highschool diploma,$15k - $35k: low income,768
LA,Caucasian,Highschool diploma,$35k - $70k: middle class,1315
LA,Caucasian,Highschool diploma,$70 - $150k: upper middle class,1640
LA,Caucasian,No highschool diploma,$0 - $15k: living in poverty,1986
LA,Caucasian,No highschool diploma,$150k+ : upper class,2744
LA,Caucasian,No highschool diploma,$15k - $35k: low income,3324
LA,Caucasian,No highschool diploma,$35k - $70k: middle class,4481
LA,Caucasian,No highschool diploma,$70 - $150k: upper middle class,5036
LA,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,232
LA,Caucasian,Undergraduate degree,$150k+ : upper class,1088
LA,Caucasian,Undergraduate degree,$15k - $35k: low income,402
LA,Caucasian,Undergraduate degree,$35k - $70k: middle class,972
LA,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1648
LA,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,32
LA,Not Caucasian,Graduate degree or more,$150k+ : upper class,112
LA,Not Caucasian,Graduate degree or more,$15k - $35k: low income,79
LA,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,169
LA,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,229
LA,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,336
LA,Not Caucasian,Highschool diploma,$150k+ : upper class,266
LA,Not Caucasian,Highschool diploma,$15k - $35k: low income,630
LA,Not Caucasian,Highschool diploma,$35k - $70k: middle class,638
LA,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,504
LA,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,2348
LA,Not Caucasian,No highschool diploma,$150k+ : upper class,1192
LA,Not Caucasian,No highschool diploma,$15k - $35k: low income,2839
LA,Not Caucasian,No highschool diploma,$35k - $70k: middle class,2196
LA,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,1421
LA,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,124
LA,Not Caucasian,Undergraduate degree,$150k+ : upper class,179
LA,Not Caucasian,Undergraduate degree,$15k - $35k: low income,176
LA,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,303
LA,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,374
MA,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,240
MA,Caucasian,Graduate degree or more,$150k+ : upper class,4521
MA,Caucasian,Graduate degree or more,$15k - $35k: low income,429
MA,Caucasian,Graduate degree or more,$35k - $70k: middle class,1268
MA,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,2896
MA,Caucasian,Highschool diploma,$0 - $15k: living in poverty,649
MA,Caucasian,Highschool diploma,$150k+ : upper class,2980
MA,Caucasian,Highschool diploma,$15k - $35k: low income,1011
MA,Caucasian,Highschool diploma,$35k - $70k: middle class,1869
MA,Caucasian,Highschool diploma,$70 - $150k: upper middle class,2850
MA,Caucasian,No highschool diploma,$0 - $15k: living in poverty,2038
MA,Caucasian,No highschool diploma,$150k+ : upper class,8170
MA,Caucasian,No highschool diploma,$15k - $35k: low income,3344
MA,Caucasian,No highschool diploma,$35k - $70k: middle class,4953
MA,Caucasian,No highschool diploma,$70 - $150k: upper middle class,7878
MA,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,532
MA,Caucasian,Undergraduate degree,$150k+ : upper class,4551
MA,Caucasian,Undergraduate degree,$15k - $35k: low income,876
MA,Caucasian,Undergraduate degree,$35k - $70k: middle class,2113
MA,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,3792
MA,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,71
MA,Not Caucasian,Graduate degree or more,$150k+ : upper class,897
MA,Not Caucasian,Graduate degree or more,$15k - $35k: low income,106
MA,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,229
MA,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,477
MA,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,222
MA,Not Caucasian,Highschool diploma,$150k+ : upper class,687
MA,Not Caucasian,Highschool diploma,$15k - $35k: low income,240
MA,Not Caucasian,Highschool diploma,$35k - $70k: middle class,379
MA,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,507
MA,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,860
MA,Not Caucasian,No highschool diploma,$150k+ : upper class,2010
MA,Not Caucasian,No highschool diploma,$15k - $35k: low income,1261
MA,Not Caucasian,No highschool diploma,$35k - $70k: middle class,1553
MA,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,1852
MA,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,170
MA,Not Caucasian,Undergraduate degree,$150k+ : upper class,559
MA,Not Caucasian,Undergraduate degree,$15k - $35k: low income,169
MA,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,342
MA,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,580
MD,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,134
MD,Caucasian,Graduate degree or more,$150k+ : upper class,3411
MD,Caucasian,Graduate degree or more,$15k - $35k: low income,211
MD,Caucasian,Graduate degree or more,$35k - $70k: middle class,667
MD,Caucasian,Graduate degree or more,$70 - $150k: upper middle class,1907
MD,Caucasian,Highschool diploma,$0 - $15k: living in poverty,326
MD,Caucasian,Highschool diploma,$150k+ : upper class,1776
MD,Caucasian,Highschool diploma,$15k - $35k: low income,511
MD,Caucasian,Highschool diploma,$35k - $70k: middle class,1148
MD,Caucasian,Highschool diploma,$70 - $150k: upper middle class,1953
MD,Caucasian,No highschool diploma,$0 - $15k: living in poverty,1117
MD,Caucasian,No highschool diploma,$150k+ : upper class,5409
MD,Caucasian,No highschool diploma,$15k - $35k: low income,1996
MD,Caucasian,No highschool diploma,$35k - $70k: middle class,3847
MD,Caucasian,No highschool diploma,$70 - $150k: upper middle class,5713
MD,Caucasian,Undergraduate degree,$0 - $15k: living in poverty,226
MD,Caucasian,Undergraduate degree,$150k+ : upper class,2943
MD,Caucasian,Undergraduate degree,$15k - $35k: low income,419
MD,Caucasian,Undergraduate degree,$35k - $70k: middle class,1119
MD,Caucasian,Undergraduate degree,$70 - $150k: upper middle class,2481
MD,Not Caucasian,Graduate degree or more,$0 - $15k: living in poverty,110
MD,Not Caucasian,Graduate degree or more,$150k+ : upper class,1257
MD,Not Caucasian,Graduate degree or more,$15k - $35k: low income,128
MD,Not Caucasian,Graduate degree or more,$35k - $70k: middle class,346
MD,Not Caucasian,Graduate degree or more,$70 - $150k: upper middle class,938
MD,Not Caucasian,Highschool diploma,$0 - $15k: living in poverty,227
MD,Not Caucasian,Highschool diploma,$150k+ : upper class,1016
MD,Not Caucasian,Highschool diploma,$15k - $35k: low income,399
MD,Not Caucasian,Highschool diploma,$35k - $70k: middle class,823
MD,Not Caucasian,Highschool diploma,$70 - $150k: upper middle class,1187
MD,Not Caucasian,No highschool diploma,$0 - $15k: living in poverty,1336
MD,Not Caucasian,No highschool diploma,$150k+ : upper class,3225
MD,Not Caucasian,No highschool diploma,$15k - $35k: low income,1795
MD,Not Caucasian,No highschool diploma,$35k - $70k: middle class,2923
MD,Not Caucasian,No highschool diploma,$70 - $150k: upper middle class,3860
MD,Not Caucasian,Undergraduate degree,$0 - $15k: living in poverty,130
MD,Not Caucasian,Undergraduate degree,$150k+ : upper class,947
MD,Not Caucasian,Undergraduate degree,$15k - $35k: low income,216
MD,Not Caucasian,Undergraduate degree,$35k - $70k: middle class,550
MD,Not Caucasian,Undergraduate degree,$70 - $150k: upper middle class,1113
ME,Caucasian,Graduate degree or more,$0 - $15k: living in poverty,42
ME,Caucasian,Graduate degree or more,$150k+ : upper class,294
ME,Caucasian,Graduate degree or more,$15k - $35k: low income,81
